timestamp,x,y,z
30:00.1,32,-800,576
30:00.2,-272,-1000,-260
30:00.3,-456,-1072,40
30:00.4,-332,-964,-272
30:00.5,-196,-1112,136
30:00.7,-112,-1176,472
30:00.8,-28,-1112,172
30:00.9,72,-1008,-184
30:01.0,492,-408,620
30:01.1,708,-612,-652
30:01.2,604,-332,-448
30:01.3,500,-556,-64
30:01.4,536,-924,-528
30:01.5,352,-164,-480
30:01.6,72,216,-1596
30:01.7,-164,300,-1784
30:01.8,-296,868,2040
30:01.9,-1060,1168,-2040
30:02.0,-304,1604,1428
30:02.1,-628,532,1624
30:02.2,-492,980,944
30:02.3,308,1508,-440
30:02.4,-272,540,796
30:02.5,-512,44,2040
30:02.6,-236,1040,-2040
30:02.7,-316,184,80
30:02.8,-504,-12,2040
30:02.9,536,1012,-2040
30:03.0,40,860,312
30:03.1,-8,144,-388
30:03.2,88,476,-1344
30:03.3,296,320,-1184
30:03.4,532,856,-736
30:03.5,184,828,1052
30:03.6,252,720,-880
30:03.7,124,708,-700
30:03.8,-16,312,-684
30:03.9,40,-40,-992
30:04.0,-48,-148,-1100
30:04.1,4,-404,-900
30:04.2,68,-532,-900
30:04.3,-4,-608,-820
30:04.4,-136,-656,-700
30:04.5,-248,-740,-516
30:04.6,-316,-736,-536
30:04.7,-268,-756,-716
30:04.8,-268,-840,-652
30:05.0,-312,-844,-576
30:05.1,-304,-792,-652
30:05.2,-320,-784,-636
30:05.3,-320,-756,-672
30:05.4,-328,-748,-704
30:05.5,-320,-728,-688
30:05.6,-344,-748,-692
30:05.7,-360,-752,-688
30:05.8,-348,-744,-680
30:05.9,-336,-748,-692
30:06.0,-328,-748,-684
30:06.1,-340,-744,-700
30:06.2,-348,-744,-672
30:06.3,-344,-724,-724
30:06.4,-344,-716,-704
30:06.5,-340,-712,-704
30:06.6,-336,-712,-716
30:06.7,-328,-716,-724
30:06.8,-328,-704,-740
30:06.9,-324,-700,-716
30:07.0,-340,-704,-748
30:07.1,-328,-688,-748
30:07.2,-320,-684,-764
30:07.3,-320,-684,-744
30:07.4,-320,-680,-744
30:07.5,-324,-680,-740
30:07.6,-320,-680,-748
30:07.7,-320,-684,-740
30:07.8,-316,-684,-752
30:07.9,-316,-680,-752
30:08.0,-316,-676,-748
30:08.1,-312,-680,-748
30:08.2,-312,-684,-740
30:08.3,-312,-684,-740
30:08.4,-312,-676,-744
30:08.5,-308,-680,-752
30:08.6,-300,-676,-764
30:08.7,-296,-676,-756
30:08.8,-296,-676,-756
30:08.9,-296,-680,-752
30:09.0,-292,-684,-756
30:09.1,-288,-684,-756
30:09.2,-288,-684,-752
30:09.4,-284,-688,-740
30:09.5,-284,-688,-760
30:09.6,-284,-688,-768
30:09.7,-284,-680,-748
30:09.8,-288,-688,-736
30:09.9,-284,-692,-760
30:10.0,-280,-684,-740
30:10.1,-280,-684,-740
30:10.2,-284,-692,-752
30:10.3,-288,-692,-752
30:10.4,-292,-696,-748
30:10.5,-292,-696,-744
30:10.6,-292,-696,-752
30:10.7,-296,-696,-756
30:10.8,-292,-696,-740
30:10.9,-292,-696,-748
30:11.0,-288,-692,-756
30:11.1,-292,-692,-744
30:11.2,-292,-696,-748
30:11.3,-288,-700,-736
30:11.4,-288,-696,-740
30:11.5,-292,-692,-744
30:11.6,-296,-692,-740
30:11.7,-288,-692,-736
30:11.8,-292,-700,-736
30:11.9,-292,-692,-740
30:12.0,-288,-696,-732
30:12.1,-284,-700,-728
30:12.2,-284,-696,-744
30:12.3,-284,-696,-736
30:12.4,-284,-692,-744
30:12.5,-280,-692,-736
30:12.6,-288,-700,-756
30:12.7,-292,-704,-736
30:12.8,-292,-704,-760
30:12.9,-288,-700,-736
30:13.0,-284,-704,-752
30:13.1,-284,-696,-744
30:13.2,-284,-700,-728
30:13.3,-284,-700,-740
30:13.4,-284,-700,-748
30:13.5,-284,-704,-764
30:13.7,-284,-704,-752
30:13.8,-292,-700,-720
30:13.9,-284,-700,-732
30:14.0,-280,-736,-708
30:14.1,-204,-704,-780
30:14.2,-176,-744,-704
30:14.3,-236,-876,-720
30:14.4,-76,-824,-920
30:14.5,128,-884,-808
30:14.6,276,-808,-284
30:14.7,340,-972,364
30:14.8,372,-380,-384
30:14.9,-36,-52,-1088
30:15.0,560,-180,-388
30:15.1,776,-24,-912
30:15.2,624,-384,-1276
30:15.3,436,292,-588
30:15.4,464,540,-256
30:15.5,136,732,-324
30:15.6,200,540,-344
30:15.7,256,776,244
30:15.8,128,880,464
30:15.9,60,956,376
30:16.0,68,928,576
30:16.1,-176,828,312
30:16.2,-292,724,992
30:16.3,-476,916,412
30:16.4,-524,960,-328
30:16.5,-612,1312,748
30:16.6,-184,1156,-440
30:16.7,-192,1124,-440
30:16.8,-260,1096,-368
30:16.9,-136,1012,-348
30:17.0,48,988,-268
30:17.1,12,952,-324
30:17.2,20,1012,-240
30:17.3,88,1004,-44
30:17.4,112,1048,-32
30:17.5,80,988,8
30:17.6,60,1072,156
30:17.7,28,1092,208
30:17.8,0,1084,308
30:17.9,24,1044,232
30:18.1,24,1096,100
30:18.2,52,1176,-196
30:18.3,240,1120,744
30:18.4,344,1204,-476
30:18.5,256,1164,-132
30:18.6,188,1108,184
30:18.7,104,1072,92
30:18.8,20,1060,-176
30:18.9,-4,1032,-28
30:19.0,16,1012,100
30:19.1,60,1012,100
30:19.2,28,1016,100
30:19.3,-24,940,-344
30:19.4,-16,600,72
30:19.5,-112,844,16
30:19.6,-200,1052,44
30:19.7,-152,1516,-152
30:19.8,-40,980,-284
30:19.9,716,1508,1060
30:20.0,384,364,-812
30:20.1,-112,-372,-480
30:20.2,-148,-336,1416
30:20.3,-168,-732,676
30:20.4,-92,-828,812
30:20.5,132,-764,900
30:20.6,292,-1276,1004
30:20.7,276,-1300,608
30:20.8,384,-1012,288
30:20.9,-28,-1120,-1136
30:21.0,148,-988,1076
30:21.1,216,-956,392
30:21.2,16,-964,-140
30:21.3,-244,-1064,-128
30:21.4,-108,-1008,164
30:21.5,-48,-1040,-204
30:21.6,-92,-1028,-116
30:21.7,-80,-1136,72
30:21.8,-84,-1088,204
30:21.9,-80,-996,76
30:22.0,16,-1232,-124
30:22.1,-48,-844,128
30:22.2,-32,-984,-8
30:22.4,32,-920,-8
30:22.5,60,-1104,228
30:22.6,12,-1392,436
30:22.7,-52,-1200,60
30:22.8,-36,-1248,68
30:22.9,-16,-1148,88
30:23.0,-128,-1112,396
30:23.1,-156,-1128,92
30:23.2,16,-980,-276
30:23.3,124,-752,-764
30:23.4,272,-584,-528
30:23.5,260,-692,-752
30:23.6,188,-848,-504
30:23.7,-36,-740,-844
30:23.8,-172,-552,-640
30:23.9,-24,-408,-1048
30:24.0,128,-80,-808
30:24.1,416,64,-580
30:24.2,572,228,-772
30:24.3,424,276,-912
30:24.4,300,396,-920
30:24.5,548,452,-1608
30:24.6,592,548,-1284
30:24.7,656,584,-768
30:24.8,608,580,-540
30:24.9,656,520,56
30:25.0,372,488,-124
30:25.1,404,696,-1232
30:25.2,296,684,-60
30:25.3,548,864,-196
30:25.4,444,912,260
30:25.5,332,880,-448
30:25.6,176,976,-336
30:25.7,248,1240,588
30:25.8,68,1064,380
30:25.9,-92,1360,296
30:26.0,-124,1204,52
30:26.1,-84,1020,260
30:26.2,-52,1168,352
30:26.3,12,972,364
30:26.4,-28,936,4
30:26.5,-12,972,316
30:26.6,28,1080,196
30:26.8,8,1036,452
30:26.9,32,1004,300
30:27.0,64,980,400
30:27.1,96,956,436
30:27.2,64,952,428
30:27.3,56,976,388
30:27.4,56,960,464
30:27.5,36,984,524
30:27.6,52,940,480
30:27.7,52,928,536
30:27.8,24,908,652
30:27.9,-12,788,732
30:28.0,12,748,728
30:28.1,32,748,716
30:28.2,44,748,716
30:28.3,48,712,720
30:28.4,52,712,704
30:28.5,44,728,720
30:28.6,68,824,692
30:28.7,40,704,812
30:28.8,24,684,776
30:28.9,108,708,712
